host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,amenities,price,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_from_metro(meters),bathroom_is_private,a few days or more,within a day,within a few hours,within an hour,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
0.0,30.0,0,1,37.97787,23.73829,2,1.0,1.0,1.0,16.86149961149961,11.0,0,1,1,0,0,435.8897207862662,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.0,100.0,1,0,37.967909999999996,23.729329999999997,3,1.0,1.0,0.0,18.505244755244764,60.0,0,3,3,0,0,901.2732518675716,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,1,1,37.966,23.744429999999998,6,1.0,2.0,2.0,21.402097902097896,46.0,1,19,19,0,0,466.85720980544335,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,100.0,0,1,37.97537,23.73337,4,1.0,2.0,2.0,17.289432789432787,35.0,0,2,2,0,0,89.78859824151517,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,0,1,37.97503,23.73236,2,1.0,1.0,1.0,14.460955710955712,36.0,0,2,2,0,0,176.59723800428958,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.0,98.0,0,1,37.961009999999995,23.73623,8,2.0,3.0,5.0,17.09887334887335,84.0,1,67,52,15,0,744.636931682728,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,1,1,37.97952,23.723670000000002,4,1.0,1.0,1.0,20.905594405594407,75.0,0,1,1,0,0,41.95652033858117,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.0,75.0,0,0,37.9858,23.72328,8,1.0,2.0,8.0,17.299339549339553,20.0,0,1,1,0,0,213.19740099190116,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,96.0,1,1,37.9802,23.723570000000002,4,1.0,1.0,1.0,21.03846153846153,40.0,0,42,42,0,0,117.76205128992187,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,96.0,1,1,37.9802,23.723570000000002,4,1.0,1.0,1.0,21.03846153846153,41.0,0,42,42,0,0,117.76205128992187,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
