,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,log_price,bathroom_is_private,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
1172,0,2.0,0,37.96978,23.7422,4,2.0,3.0,18.927462643261283,69.0,2,1125,1,90,7,94.0,10.0,1,1,1,0,0,4.23410650459726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1173,0,1.0,0,37.99388,23.730829999999997,4,2.0,2.0,11.775134194109965,50.0,2,1125,1,88,21,97.0,9.0,0,1,1,0,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1174,1,1.0,1,37.9839,23.736829999999998,2,1.0,1.0,21.553750181343393,20.0,1,30,1,65,464,98.0,10.0,1,1,0,1,0,2.995732273553991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,1,6.0,1,37.98217,23.713929999999998,8,4.0,5.0,21.533439721456553,335.0,2,1125,1,75,105,98.0,9.0,1,3,3,0,0,5.814130531825066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,1,6.0,1,37.97651,23.72982,5,1.0,3.0,20.682431452197886,30.0,2,1125,1,75,119,98.0,10.0,1,6,6,0,0,3.4011973816621555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,0,2.0,1,37.98601,23.73895,2,1.0,1.0,9.647903670390251,15.0,1,6,1,0,3,87.0,9.0,0,1,0,1,0,2.70805020110221,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,1.0,1,38.01852,23.73157,6,2.0,6.0,16.58450602060061,60.0,2,1125,1,87,9,98.0,10.0,0,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,1,1.0,1,37.97047,23.72962,2,1.0,1.0,20.030755839257218,60.0,1,28,1,52,141,97.0,10.0,1,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,0,1.0,0,37.978120000000004,23.7502,2,1.0,2.0,12.787320470042072,25.0,4,1125,1,88,9,98.0,10.0,0,1,1,0,0,3.2188758248682006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,1,1.0,0,37.982690000000005,23.717679999999998,3,2.0,2.0,12.110256782242855,48.0,2,30,1,90,76,98.0,10.0,1,1,1,0,0,3.871201010907891,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,0,4.0,0,37.97141,23.746660000000002,1,1.0,1.0,18.822283475990137,25.0,10,1125,1,89,21,97.0,10.0,0,4,1,3,0,3.2188758248682006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,0,2.0,1,37.98055,23.74036,4,1.0,1.0,14.598868417234879,120.0,2,90,1,74,60,98.0,10.0,1,2,2,0,0,4.787491742782046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,0,5.0,0,38.00436,23.7284,4,2.0,3.0,16.23966342666473,28.0,2,1125,1,0,2,70.0,10.0,1,1,1,0,0,3.332204510175204,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,1,7.0,1,38.01143,23.72113,5,2.0,3.0,21.18627593210504,33.0,1,15,1,27,178,98.0,9.0,0,7,7,0,0,3.4965075614664802,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,1,1.0,1,37.96798,23.729979999999998,4,3.0,4.0,19.805890033367188,80.0,3,1125,1,89,52,97.0,10.0,1,1,1,0,0,4.382026634673881,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1,3.0,1,37.96199,23.72745,5,2.0,2.0,23.573190192949372,60.0,2,1125,1,89,60,99.0,10.0,1,3,3,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,0,1.0,1,37.9894,23.759,2,1.0,1.0,19.818221384012766,30.0,2,310,1,23,73,98.0,10.0,0,2,2,0,0,3.4011973816621555,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,1,4.0,1,37.96759,23.732960000000002,7,2.0,2.0,21.10982155810242,40.0,1,1125,1,72,379,99.0,10.0,1,5,5,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,0,19.0,0,37.997640000000004,23.730829999999997,4,1.0,2.0,4.464384157841288,60.0,1,1125,1,90,1,20.0,4.0,0,18,18,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1195,0,1.0,0,37.98892,23.725189999999998,3,1.0,2.0,11.186711156245467,25.0,2,10,1,0,130,95.0,9.0,1,1,1,0,0,3.2188758248682006,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,0,2.0,0,37.98607,23.72832,4,2.0,2.0,11.821558102422749,35.0,1,1125,1,90,14,92.0,9.0,1,1,1,0,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,1,2.0,1,37.977990000000005,23.73113,8,1.0,8.0,18.280139271724938,80.0,2,1125,1,90,87,98.0,10.0,1,2,2,0,0,4.382026634673881,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,1.0,0,37.99235,23.7315,2,1.0,1.0,1.3235166110546934,30.0,1,1125,1,89,11,96.0,10.0,1,1,0,1,0,3.4011973816621555,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1199,0,1.0,1,37.97274,23.73319,5,2.0,2.0,19.97707819527057,60.0,1,1125,1,77,7,100.0,10.0,1,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,1.0,1,37.99705,23.725270000000002,4,1.0,2.0,14.725663716814157,75.0,5,1125,1,30,39,86.0,8.0,0,1,1,0,0,4.31748811353631,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1202,0,3.0,0,37.989290000000004,23.75743,5,2.0,4.0,10.875090671695926,25.0,3,1125,1,89,1,60.0,10.0,0,3,3,0,0,3.2188758248682006,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1,3.0,1,37.96403,23.72255,4,1.0,2.0,22.452633106049618,20.0,3,28,1,77,359,99.0,10.0,1,3,3,0,0,2.995732273553991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,0,1.0,0,37.98604,23.71752,2,1.0,2.0,17.936167126069925,15.0,1,1125,1,90,65,92.0,9.0,0,1,0,1,0,2.70805020110221,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,0,1.0,0,37.97394,23.732120000000002,3,1.0,2.0,6.928768315682577,80.0,2,5,1,83,12,98.0,10.0,0,1,1,0,0,4.382026634673881,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,0,3.0,0,37.98729,23.76492,4,1.0,4.0,9.1485565066009,40.0,3,1125,0,0,1,80.0,8.0,0,3,3,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,0,1.0,0,37.97522,23.71827,2,1.0,1.0,16.71797475699985,20.0,1,1125,1,76,204,90.0,10.0,1,1,1,0,0,2.995732273553991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,0,1.0,1,37.96825,23.724870000000003,5,3.0,3.0,15.08733497751342,97.0,2,1125,1,89,82,97.0,10.0,1,1,1,0,0,4.574710978503383,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,1,3.0,1,37.965140000000005,23.71687,4,2.0,2.0,23.005077614971718,50.0,2,31,1,21,285,99.0,10.0,1,2,2,0,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,0,141.0,1,37.95582,23.72638,15,5.0,10.0,18.780501958508633,180.0,1,730,1,85,90,89.0,9.0,1,67,52,15,0,5.19295685089021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,1,10.0,1,37.9613,23.730970000000003,3,1.0,1.0,19.568402727404614,22.0,1,1125,1,62,353,97.0,10.0,1,5,5,0,0,3.091042453358316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,1,1.0,1,37.96505,23.719910000000002,5,2.0,3.0,20.360800812418397,30.0,2,1125,1,90,148,95.0,10.0,1,1,1,0,0,3.4011973816621555,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,1,1.0,0,37.97826,23.725170000000002,3,1.0,2.0,18.018279413898156,35.0,2,60,1,22,214,97.0,10.0,0,1,1,0,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,0,1.0,1,37.98635,23.74721,3,1.0,2.0,18.89656172929059,60.0,3,30,1,83,11,100.0,9.0,0,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,0,128.0,1,37.99669,23.73595,7,3.0,3.0,18.326418105324244,80.0,2,1125,1,0,1,100.0,10.0,0,126,26,100,0,4.382026634673881,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,1,8.0,1,37.97828,23.7546,4,1.0,2.0,20.459451617583053,30.0,1,1125,1,77,106,98.0,10.0,1,6,6,0,0,3.4011973816621555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,1,6.0,1,37.97656,23.7301,5,1.0,1.0,20.91846801102568,55.0,2,1125,1,83,95,98.0,10.0,1,6,6,0,0,4.007333185232471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,0,6.0,1,38.00562,23.75125,6,2.0,3.0,21.96257072392283,187.0,4,60,1,86,7,100.0,10.0,1,1,1,0,0,5.231108616854587,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,0,1.0,0,38.00045,23.747020000000003,3,2.0,2.0,11.416944726534165,60.0,1,1125,0,0,2,80.0,10.0,0,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,0,1.0,1,37.98658,23.728939999999998,2,1.0,2.0,21.44842593935877,25.0,4,1125,1,53,12,92.0,9.0,1,1,1,0,0,3.2188758248682006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,0,4.0,0,37.9715,23.748379999999997,2,1.0,1.0,15.090381546496445,19.0,1,1125,1,89,56,98.0,10.0,0,4,1,3,0,2.9444389791664403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,0,1.0,1,37.99483,23.7227,2,1.0,1.0,10.732917452488032,22.0,3,30,1,0,23,100.0,10.0,1,1,1,0,0,3.091042453358316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1229,0,3.0,0,37.991170000000004,23.72945,4,1.0,2.0,10.307558392572178,30.0,1,180,1,89,32,94.0,9.0,0,3,3,0,0,3.4011973816621555,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,0,12.0,1,37.97952,23.71003,6,2.0,2.0,20.56259973886552,45.0,1,1125,1,64,85,94.0,9.0,1,12,12,0,0,3.8066624897703196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,1,33.0,1,37.97886,23.72406,4,1.0,1.0,6.8483969244160745,229.0,1,1125,1,86,41,99.0,10.0,1,9,9,0,0,5.43372200355424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,0,1.0,1,37.97119,23.74336,3,1.0,1.0,10.150732627303062,65.0,1,1125,1,88,1,100.0,10.0,1,1,1,0,0,4.174387269895637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,1,1.0,1,37.97408,23.73294,4,2.0,4.0,18.69476280284347,120.0,2,1125,1,89,120,100.0,10.0,0,1,1,0,0,4.787491742782046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,1,1.0,1,37.96454,23.72426,2,1.0,1.0,16.383287393007397,35.0,1,1125,1,0,230,98.0,10.0,1,1,1,0,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,0,4.0,0,37.97017,23.746660000000002,2,3.0,4.0,18.47961700275642,35.0,10,1125,1,89,1,100.0,10.0,0,4,1,3,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,0,1.0,0,37.9754,23.7148,4,1.0,1.0,20.66748875670971,48.0,2,120,1,89,97,99.0,10.0,1,1,1,0,0,3.871201010907891,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,1,3.0,1,37.98505,23.75225,7,3.0,4.0,23.471057594661257,297.0,1,60,1,49,101,99.0,10.0,1,2,2,0,0,5.6937321388027,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,1,5.0,1,37.987559999999995,23.73016,2,1.0,1.0,14.943130712316842,25.0,1,1125,1,89,76,98.0,9.0,1,4,2,2,0,3.2188758248682006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,0,75.0,1,37.966190000000005,23.72733,2,1.0,1.0,6.890903815464965,50.0,1,1000,1,0,239,97.0,10.0,0,27,25,1,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,0,2.0,1,37.99008,23.76116,4,1.0,2.0,12.618453503554333,25.0,1,1125,1,86,100,95.0,10.0,1,2,2,0,0,3.2188758248682006,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,0,3.0,1,37.963809999999995,23.73357,5,2.0,3.0,9.31872914550994,300.0,20,1125,1,83,15,97.0,9.0,1,3,3,0,0,5.703782474656201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,1,3.0,1,37.98858,23.74965,3,1.0,2.0,20.19686638618889,40.0,10,1125,1,0,70,98.0,9.0,1,4,4,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,0,6.0,1,37.97815,23.72818,2,1.0,1.0,14.674742492383578,65.0,1,30,1,52,91,98.0,10.0,1,5,5,0,0,4.174387269895637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,0,36.0,1,37.97702,23.72806,3,1.0,2.0,17.35427245031191,25.0,1,1124,1,72,508,95.0,10.0,1,32,32,0,0,3.2188758248682006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,0,1.0,1,37.98806,23.72046,5,2.0,2.0,18.194690265486727,35.0,1,1125,1,0,124,90.0,9.0,1,1,1,0,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1251,1,1.0,1,37.99031,23.7641,5,1.0,2.0,21.19265921949804,34.0,1,45,1,66,220,100.0,10.0,1,1,1,0,0,3.5263605246161616,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,1,1.0,1,37.97292,23.73255,2,1.0,1.0,18.14841143188742,65.0,2,15,1,88,38,99.0,10.0,0,1,1,0,0,4.174387269895637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,0,3.0,0,37.99105,23.76137,4,1.0,3.0,5.99825910343827,40.0,3,1125,0,0,1,100.0,10.0,0,3,3,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,0,3.0,1,37.96347,23.73359,7,2.0,2.0,10.206731466705355,400.0,20,1125,1,83,17,95.0,9.0,1,3,3,0,0,5.991464547107982,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,0,9.0,0,37.97187,23.745160000000002,2,1.0,1.0,21.123458581169306,26.0,2,60,1,86,12,88.0,9.0,1,2,2,0,0,3.258096538021482,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,1,2.0,1,37.97103,23.73047,2,1.0,2.0,19.120992311040187,40.0,2,1125,1,58,360,99.0,10.0,1,2,2,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,1,19.0,1,37.96333,23.723110000000002,3,1.0,1.0,12.27390105904541,90.0,2,90,1,85,99,100.0,10.0,1,1,1,0,0,4.499809670330265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
