host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathroom_is_private,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,a few days or more,within a day,within a few hours,within an hour
80.0,100.0,1,4.0,4.0,1,0,3,1.0,1.0,0.0,60.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,30,60,90,365,27,0,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,3,3,0,0,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,1,20.0,20.0,1,1,6,1.0,2.0,2.0,46.0,1,730,1.0,1.0,730.0,730.0,1.0,730.0,1,0,0,0,132,171,1,0,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,19,19,0,0,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0,3.0,3.0,1,1,4,1.0,2.0,2.0,35.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,29,59,89,341,112,11,0,82.0,9.0,9.0,10.0,10.0,10.0,9.0,0,2,2,0,0,1.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0,3.0,3.0,1,1,2,1.0,1.0,1.0,36.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,29,59,89,341,47,0,0,83.0,9.0,9.0,8.0,9.0,10.0,9.0,0,2,2,0,0,0.42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97.0,98.0,0,141.0,141.0,1,1,8,2.0,3.0,5.0,84.0,2,730,2.0,2.0,730.0,730.0,2.0,730.0,1,30,60,90,220,164,2,0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,1,67,52,15,0,1.53,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1,3.0,3.0,1,1,4,1.0,1.0,1.0,75.0,4,40,4.0,4.0,40.0,40.0,4.0,40.0,1,23,53,83,173,74,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80.0,75.0,0,1.0,1.0,1,0,8,1.0,2.0,8.0,20.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,1,29,59,89,364,32,1,0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0,0,0.31,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,96.0,1,67.0,67.0,1,1,4,1.0,1.0,1.0,40.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,30,53,75,343,19,4,0,95.0,9.0,10.0,10.0,10.0,9.0,10.0,0,42,42,0,0,0.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,96.0,1,67.0,67.0,1,1,4,1.0,1.0,1.0,41.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,1,1,1,1,7,2,1,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0,42,42,0,0,0.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43.0,33.0,0,3.0,3.0,1,0,3,2.0,2.0,2.0,70.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,29,59,89,364,64,1,0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,3,2,1,0,0.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
